Species	N_hits	Dominant_component	Min_adj_p	Dominant_coef	Dominant_se	Dominant_contig
UBA11524 sp000437595	1	ZI	0.000212705161278494	0.528644705369121	0.104067750318334	FR899776.1 Faecalibacterium sp. CAG:74 genomic scaffold, scf6, whole genome shotgun sequence
Bacteroides fragilis	1	ZI	0.000215493128279541	-0.465884131454243	0.0917636556007831	NC_003228.3 Bacteroides fragilis NCTC 9343, complete sequence
Butyribacter intestini	1	ZI	0.000243264386490907	0.621723294297464	0.123026542443471	LLKB01000001.1 Butyribacter intestini strain TF01-11 TF01-11.Scaf1, whole genome shotgun sequence
Fusicatenibacter saccharivorans	1	Beta	0.000278164183421716	-0.0480405623428534	0.00954139650572308	NZ_JAQEGR010000001.1 Fusicatenibacter saccharivorans strain AM67-22ACA AM67-22ACA.Scaf1, whole genome shotgun sequence
Enterocloster aldenensis	1	ZI	0.000311532559295452	-0.498749429886856	0.0996343321131425	NZ_QVEX01000001.1 Enterocloster aldenensis strain AF19-9LB AF19-9LB.Scaf1, whole genome shotgun sequence
Dysosmobacter sp900550685	1	ZI	0.000463316135690039	0.611732054645557	0.124122515765768	URTS01000001.1 uncultured Oscillibacter sp. isolate UMGS1325 genome assembly, contig: NODE_123_length_86032_cov_4.338253, whole genome shotgun sequence
Eubacterium_G sp000435815	1	ZI	0.00102308671446604	0.564411761241807	0.118301478335913	NZ_QTVG01000001.1 Eubacterium sp. AF36-5BH AF36-5BH.Scaf1, whole genome shotgun sequence
Faecalibacterium sp900539945	1	ZI	0.00141667158048611	0.452794629420695	0.096244682415291	CP107211.1 MAG: Oscillospiraceae bacterium isolate KR001_HAM_0066 chromosome, complete genome
HGM11808 sp900757025	1	ZI	0.00145197126672285	0.570271791205554	0.121354339251417	CAAEMG010000001.1 MAG TPA_asm: Clostridia bacterium, isolate HGM11808, WGS project CAAEMG010000000 data, contig: ERS537280_49_k99_52, whole genome shotgun sequence
Blautia_A acetigignens	1	ZI	0.002464183685222	0.461239366217336	0.100495616681478	NZ_JAOQJM010000001.1 Blautia acetigignens strain Sanger_28 .13414_6_20.1, whole genome shotgun sequence
Bacteroides nordii	1	ZI	0.00252231834471997	-0.468914260348269	0.102284763517598	BAJA01000118.1 Bacteroides nordii WAL 11050 = JCM 12987 DNA, contig: JCM12987.contig00118, whole genome shotgun sequence
Faecalibacterium longum	1	ZI	0.0029173303484618	0.500205425330531	0.109850175631335	NZ_JAJEQG010000010.1 Faecalibacterium longum CLA-AA-H243 NODE_10_length_77401_cov_21.251280, whole genome shotgun sequence
CAG-245 sp000435175	1	ZI	0.00312869609863039	0.534638070378487	0.117802878893436	FR880004.1 Clostridium sp. CAG:245 genomic scaffold, scf3, whole genome shotgun sequence
Coprococcus aceti	1	ZI	0.00323049584681893	0.53851911498777	0.118845029949919	NZ_JAOQJT010000001.1 Coprococcus aceti strain H2_11 .13414_6_27.1, whole genome shotgun sequence
Romboutsia timonensis	1	ZI	0.00521249393862994	0.445044315077353	0.100489402481906	NZ_LT629846.1 Romboutsia timonensis strain Marseille-P326, whole genome shotgun sequence
Hominilimicola fabiformis	1	ZI	0.00526553469694595	0.479523641839214	0.108337752723032	NZ_JAJEQM010000010.1 Hominilimicola fabiformis strain CLA-AA-H232 NODE_10_length_105690_cov_43.690493, whole genome shotgun sequence
Hominisplanchenecus faecis	1	ZI	0.00815126999497348	0.423633690593962	0.097824736402704	NZ_JAJEQE010000100.1 Hominisplanchenecus faecis strain CLA-AA-H246 NODE_100_length_1501_cov_195.508427, whole genome shotgun sequence
Acetatifactor acetigignens	1	ZI	0.0122458413821576	0.4409909950403	0.104016000314284	NZ_JAOQJO010000001.1 Brotolimicola acetigignens strain f_CXY .18048_1_81.1, whole genome shotgun sequence
Streptococcus salivarius	1	ZI	0.0136433174123906	0.419159757369078	0.0994469012792027	NZ_CP009913.1 Streptococcus salivarius strain NCTC 8618 chromosome, complete genome
Ruminococcus_C sp000433635	1	ZI	0.0137847168665851	0.494530874745083	0.117405288370738	HF997820.1 Ruminococcus sp. CAG:254 genomic scaffold, scf2, whole genome shotgun sequence
CAG-238 sp900542245	1	Beta	0.0145371573534396	0.0760481872064924	0.018043940493269	UQMQ01000001.1 uncultured Clostridiales bacterium isolate UMGS434 genome assembly, contig: NODE_240_length_48820_cov_4.921014, whole genome shotgun sequence
Escherichia coli	1	Beta	0.0149364018387456	0.0709205732743067	0.0168533382848085	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
Hominifimenecus microfluidus	1	ZI	0.015508608669613	0.539559144579903	0.128924918891396	NZ_JAJEQR010000100.1 Hominifimenecus microfluidus strain CLA-AA-H215 NODE_100_length_6993_cov_18.945489, whole genome shotgun sequence
Streptococcus ilei	1	ZI	0.0159225271633488	0.524201528608415	0.125447299763049	NC_022584.1 Streptococcus ilei, complete sequence
Butyribacter sp003529475	1	ZI	0.0184291993671906	0.443835979621563	0.10708106747794	NZ_QUFB01000001.1 Clostridium sp. AM49-4BH AM49-4BH.Scaf1, whole genome shotgun sequence
Dysosmobacter sp900544615	1	ZI	0.018637213543932	0.543592189413077	0.131243391588537	UQVS01000001.1 uncultured Oscillibacter sp. isolate UMGS683 genome assembly, contig: NODE_28_length_163767_cov_7.432119, whole genome shotgun sequence
Brotaphodocola sp003480315	1	ZI	0.0199944698428416	0.397704058474737	0.0964063282765445	NZ_QUIV01000001.1 Clostridium sp. AM33-3 AM33-3.Scaf1, whole genome shotgun sequence
Brotaphodocola sp003481825	1	ZI	0.0216743212793973	0.543327420735259	0.132316934549278	NZ_QULW01000001.1 Clostridium sp. OM02-18AC OM02-18AC.Scaf1, whole genome shotgun sequence
Hominimerdicola aceti	1	ZI	0.0254834054818949	0.383544188743487	0.0942773676176219	NZ_JAOQJZ010000001.1 Hominimerdicola aceti strain Sanger_31 .14207_7_17.1, whole genome shotgun sequence
Agathobaculum hominis	1	ZI	0.0280407410627966	0.430236746488173	0.106350148975751	NZ_JACOPK010000001.1 Agathobaculum hominis strain M2 M2_ctg0001, whole genome shotgun sequence
Coprococcus ammoniilyticus	1	ZI	0.0301943823653076	0.522968014266232	0.129843872087417	NZ_JAOQJS010000001.1 Coprococcus ammoniilyticus strain H1_22 .13414_6_3.1, whole genome shotgun sequence
CAG-115 sp003531585	1	ZI	0.0307006370693378	0.512440906779408	0.127367793165357	DQFX01000062.1 MAG TPA_asm: Oscillospiraceae bacterium isolate UBA10671 contig_1103, whole genome shotgun sequence
Lachnospira sp000437735	1	ZI	0.0309804188042552	0.374203420138915	0.0930683106187091	NZ_JAJCRR010000001.1 Lachnospira pectinoschiza strain SL.1.13 OMCMFGFK_1, whole genome shotgun sequence
Limivivens faecihominis	1	ZI	0.0392250785468935	0.379618842754998	0.095757905589347	NZ_JAJEPR010000100.1 Fusicatenibacter sp. CLA-AA-H277 NODE_100_length_1191_cov_37.984740, whole genome shotgun sequence
Adlercreutzia rubneri	1	ZI	0.0427123017225596	0.505837448651202	0.128269764358666	NZ_WPOO01000001.1 Adlercreutzia rubneri strain ResAG-91 ResAG91_contig_001, whole genome shotgun sequence
Eubacterium_I ramulus_A	1	ZI	0.0458482201651581	0.426047073718782	0.108517297759115	NZ_JRFU01000001.1 Eubacterium ramulus strain 21 contig1, whole genome shotgun sequence
Anthropogastromicrobium aceti	1	ZI	0.0470442206338534	0.396332910993027	0.101120321536803	NZ_JAOQJH010000001.1 Anthropogastromicrobium aceti strain H6_35 .14207_7_90.1, whole genome shotgun sequence
