Species	N_hits	Dominant_component	Min_adj_p	Dominant_coef	Dominant_se	Dominant_contig
Parvimonas micra	1	ZI	6.74023727208052e-43	-1.71164468889873	0.120678036123843	NZ_LR134472.1 Parvimonas micra strain NCTC11808 chromosome 1, complete sequence
Peptostreptococcus stomatis	1	ZI	6.39512944475381e-41	-1.79929071528384	0.129815280835218	NZ_ADGQ01000074.1 Peptostreptococcus stomatis DSM 17678 contig00005, whole genome shotgun sequence
Gemella morbillorum	1	ZI	2.54075972066121e-36	-1.71995271065335	0.131511830576203	NZ_LS483440.1 Gemella morbillorum strain NCTC11323 chromosome 1, complete sequence
Allisonella pneumosinta	1	ZI	4.37665753717079e-34	-1.92405173437514	0.15172993495552	NZ_CP017037.1 Dialister pneumosintes strain F0677 chromosome, complete genome
Bulleidia moorei	1	ZI	5.86669127522635e-19	-1.42193701935764	0.14849953767888	NZ_AUKY01000001.1 Solobacterium moorei DSM 22971 H345DRAFT_scaffold00001.1_C, whole genome shotgun sequence
Otoolea symbiosa	1	ZI	8.74392980034792e-09	-0.653908413758578	0.0969267783687059	NZ_KE992784.1 [Clostridium] symbiosum ATCC 14940 Scaffold0, whole genome shotgun sequence
Roseburia intestinalis	1	ZI	1.54147492924792e-08	0.621137123115428	0.0932166518265731	NZ_LR027880.1 Roseburia intestinalis L1-82 chromosome 1, complete sequence
Lachnospira sp000436535	1	ZI	9.55541829335813e-08	0.867614619304454	0.135782717523292	FR886233.1 Eubacterium sp. CAG:252 genomic scaffold, scf2, whole genome shotgun sequence
Roseburia sp019411365	1	ZI	1.80773359411901e-07	0.603323253593032	0.0958989124444878	DXQT01000001.1 MAG TPA_asm: Roseburia sp. isolate HRGM_Genome_1601 HRGM_Genome_1601_1, whole genome shotgun sequence
Clostridium sp900540255	1	ZI	1.01130752585233e-06	0.682413904334215	0.113393879024557	NZ_UQFE01000001.1 Uncultured Clostridium sp. isolate UMGS222, whole genome shotgun sequence
Hungatella hathewayi	1	ZI	1.06726441020953e-06	-0.587122024694276	0.0977058890129555	NZ_CP102274.1 Hungatella hathewayi strain DSM 13479 chromosome, complete genome
Faecalibacterium prausnitzii_I	1	ZI	1.74215833573018e-06	0.630100610591147	0.106277451331807	NZ_PRLE01000010.1 Faecalibacterium prausnitzii strain APC923/61-1 NODE_10_length_35809_cov_131.645, whole genome shotgun sequence
Blautia_A sp000436615	1	ZI	9.26698083255962e-06	0.617424571747529	0.10932257430172	NZ_QTWS01000001.1 Blautia sp. AF19-10LB AF19-10LB.Scaf1, whole genome shotgun sequence
Hungatella effluvii	1	ZI	2.11794148609578e-05	-0.557904301012846	0.101371739229625	NZ_QJKD01000001.1 Hungatella effluvii strain DSM 24995 Ga0244553_101, whole genome shotgun sequence
Faecalibacterium prausnitzii_D	1	ZI	2.41060659612096e-05	0.559175082162592	0.102032090118905	NZ_CP094466.1 Faecalibacterium sp. I4-3-84 chromosome, complete genome
Limivivens sp905214955	1	ZI	2.83675821129021e-05	0.566021188643194	0.103834232462651	CAJMON010000001.1 TPA_asm: uncultured bacterium isolate ERR1430502-bin.37 genome assembly, contig: NODE_210_length_96799_cov_9.753597, whole genome shotgun sequence
Agathobacter faecis	1	ZI	7.34540585208814e-05	0.513372906039787	0.0972451889547482	NZ_CVRR01000001.1 Roseburia faecis strain M72, whole genome shotgun sequence
Lachnospira hominis	1	ZI	0.000100151063394469	0.529307990894047	0.10136638800225	NZ_JACOPD010000001.1 Lachnospira hominis strain NSJ-43 M7_ctg0001, whole genome shotgun sequence
Butyribacter hominis	1	ZI	0.0001005896388097	0.685257352693254	0.131260425476429	NZ_JACRSW010000027.1 Jutongia hominis strain BX3 BX3_ctg001, whole genome shotgun sequence
