Species	N_hits	Dominant_component	Min_adj_p	Dominant_coef	Dominant_se	Dominant_contig
Granulicatella adiacens	9	ZI	0.000222107012108223	-0.68508022688231	0.119866492537655	NZ_CAJKAL010000001.1 MAG: uncultured Granulicatella sp. isolate ERR1190736-bin.21, whole genome shotgun sequence
Faecalibacterium sp934511465	1	ZI	0.000425824157336379	0.561803748564555	0.100259888286666	CAKSWG010000001.1 MAG: uncultured Faecalibacterium sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_2_1814.158 genome assembly, contig: Hadza_MoBio_hadza-E-H_A_2_1814__NODE_84_length_167063_cov_28.294881, whole genome shotgun sequence
Granulicatella sp938017885	1	ZI	0.000437377913476265	-0.693506600866528	0.123866426010889	CALIJD010000001.1 MAG TPA_asm: uncultured Granulicatella sp. isolate ERR589625_bin.94_CONCOCT_v1.1_MAG genome assembly, contig: ERZ773010.2769, whole genome shotgun sequence
Enterocloster aldenensis	7	ZI	0.000795502907005307	-0.548340455145138	0.0998083149930261	NZ_QSGP01000001.1 Enterocloster aldenensis strain AM40-2AC AM40-2AC.Scaf1, whole genome shotgun sequence
Bacteroides nordii	6	ZI	0.000917917411976295	-0.578765731572316	0.105834874970203	CAKUWL010000001.1 MAG: uncultured Bacteroides sp. isolate REFINED_METABAT215_SUBJECT_CONTIGS_1500_ASSEMBLY_K77_MERGED__Pilot_MoBio_Fiber-Hadza-Nepal_M_3_7038.231 genome assembly, contig: Pilot_MoBio_Fiber-Hadza-Nepal_M_3_7038__NODE_1284_length_58464_cov_4.362050, whole genome shotgun sequence
Butyribacter hominis	10	ZI	0.000957360222912034	0.696034055082294	0.127453681474077	CAKRGY010000001.1 MAG: uncultured Lachnospiraceae bacterium isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_3_RAJ1020YZ.182 genome assembly, contig: Nepal_MoBio_Fiber-Hadza-Nepal_F_3_RAJ1020YZ__NODE_130_length_216345_cov_7.343754, whole genome shotgun sequence
UBA11524 sp000437595	74	ZI	0.000971261452273926	0.570891362779965	0.104587638768859	JAJWUU010000064.1 MAG: Clostridiales bacterium isolate B59_bin.29.fa NODE_1027_length_16553_cov_27.474300, whole genome shotgun sequence
Roseburia sp019411365	1	Beta	0.000977386302588971	-0.0832817165361897	0.0152547687644196	DXQT01000001.1 MAG TPA_asm: Roseburia sp. isolate HRGM_Genome_1601 HRGM_Genome_1601_1, whole genome shotgun sequence
Brotaphodocola sp003480315	1	Beta	0.00123659574844897	-0.0431734493322334	0.00796939217794225	CAKSBZ010000001.1 MAG: uncultured Lachnospiraceae bacterium isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_22_1655.27 genome assembly, contig: Hadza_PheChl_Fiber-Hadza-Nepal_A_22_1655__NODE_2640_length_32342_cov_7.907361, whole genome shotgun sequence
Bulleidia sp938041275	1	ZI	0.00124866601229533	-0.669650199572185	0.123699529890161	CALISH010000001.1 MAG TPA_asm: uncultured Solobacterium sp. isolate ERR589484_bin.50_CONCOCT_v1.1_MAG genome assembly, contig: ERZ772945.825, whole genome shotgun sequence
Limivivens sp905214955	3	ZI	0.00127850407018566	0.558309636517076	0.103213529066301	CAJMON010000001.1 TPA_asm: uncultured bacterium isolate ERR1430502-bin.37 genome assembly, contig: NODE_210_length_96799_cov_9.753597, whole genome shotgun sequence
Butyribacter intestini	15	ZI	0.00164036384969613	0.66642518508194	0.124232290140729	NZ_QUJS01000001.1 Clostridium sp. AM27-31LB AM27-31LB.Scaf1, whole genome shotgun sequence
Faecalibacterium longum	19	Beta	0.00184079584130721	-0.0577175528032626	0.0107968585249715	CATXFM010000001.1 MAG TPA_asm: Faecalibacterium prausnitzii isolate SRR17798033_bin.2_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18698391.52, whole genome shotgun sequence
Lachnospira hominis	21	ZI	0.00197084938429177	0.534716165473617	0.100302816620746	CAKMXQ010000001.1 MAG: uncultured Lachnospira sp. isolate min17_bin04 genome assembly, contig: contig_10003, whole genome shotgun sequence
Lachnospira sp003451515	3	ZI	0.00209449317221489	0.507715480914277	0.095436943810751	CAKRHO010000001.1 MAG: uncultured Lachnospira sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_18_2314.130 genome assembly, contig: Hadza_MoBio_hadza-E-H_J_18_2314__NODE_3_length_549671_cov_144.983049, whole genome shotgun sequence
Bacteroides fragilis	59	ZI	0.00235801197055772	-0.486179449000151	0.0917630727188795	NZ_JAFKPN010000001.1 Bacteroides fragilis strain FSHXHZ14E2 Scaffold1, whole genome shotgun sequence
Streptococcus salivarius_D	9	ZI	0.00246816470494702	0.613422877852105	0.115963038082284	NZ_QRVC01000001.1 Streptococcus salivarius strain AF23-9AC AF23-9AC.Scaf1, whole genome shotgun sequence
Faecalibacterium prausnitzii_D	50	ZI	0.00274291120001835	0.547159421275834	0.103817918486324	NZ_NMTQ01000035.1 Faecalibacterium prausnitzii strain CNCM I 4540 NODE_10_length_128508_cov_29.8283_ID_2898, whole genome shotgun sequence
Faecalibacterium sp934525845	1	ZI	0.00284066556421394	0.592880293030321	0.112631200963704	CALCMF010000001.1 MAG TPA_asm: uncultured Faecalibacterium sp. isolate ERR732783_bin.91_CONCOCT_v1.1_MAG genome assembly, contig: ERZ809395.2143, whole genome shotgun sequence
Streptococcus salivarius	12	ZI	0.00322402406969594	0.616727104597314	0.117684838846992	NZ_JAQCSH010000001.1 Streptococcus salivarius strain AF102-13 GF3HH05003.Scaf1, whole genome shotgun sequence
Eisenbergiella tayi	4	ZI	0.00371921960341908	-0.489975459979496	0.0939751050127774	CAUDWG010000001.1 MAG TPA_asm: uncultured Lachnospiraceae bacterium isolate SRR18940303_bin.48_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18683174.1508, whole genome shotgun sequence
